s_id,s_nm,s_tenabili,s_wno,s_hh,s_pop,s_zno,s_addr,s_lat,s_lon
S2-20-41,Balaraman Street,Untenable,20,118,526,2,"Balaraman Street, Ward 20, MANALI, Chennai, Tamil Nadu, India",13.1686854,80.2536231
S2-20-47,Rajiv Gandhi Street,Tenable,20,23,74,2,"Rajiv Gandhi Street, Ward 20, MANALI, Chennai, Tamil Nadu, India",13.1691983,80.2552951
S2-18-34,SR.C.V.Raman Street,Tenable,18,54,200,2,"SR.C.V.Raman Street, Ward 18, MANALI, Chennai, Tamil Nadu, India",13.1693546,80.2623907
S2-19-40,Periyamathur,Tenable,19,238,956,2,"Periyamathur, Ward 19, MANALI, Chennai, Tamil Nadu, India",13.1701327,80.245782
S2-19-35,Omakulam,Tenable,19,64,231,2,"Omakulam, Ward 19, MANALI, Chennai, Tamil Nadu, India",13.1703701,80.2415787
S2-20-46,M.G.R.Street,Tenable,20,21,76,2,"M.G.R.Street, Ward 20, MANALI, Chennai, Tamil Nadu, India",13.1722935,80.2557751
S2-18-28,Ekambaram Street,Untenable,18,65,258,2,"Ekambaram Street, Ward 18, MANALI, Chennai, Tamil Nadu, India",13.1727755,80.2610868
S2-18-33,CPCL Nagar,Tenable,18,361,1328,2,"CPCL Nagar, Ward 18, MANALI, Chennai, Tamil Nadu, India",13.1734585,80.2551319
S2-18-30,Harikrishnapuram,Untenable,18,128,495,2,"Harikrishnapuram, Ward 18, MANALI, Chennai, Tamil Nadu, India",13.1744102,80.2614037
S2-17-16,Kossapur Colony Area I,Tenable,17,188,678,2,"Kossapur Colony Area I, Ward 17, MANALI, Chennai, Tamil Nadu, India",13.184242,80.2365982
S2-17-18,Kossapur Area II,Tenable,17,88,307,2,"Kossapur Area II, Ward 17, MANALI, Chennai, Tamil Nadu, India",13.184242,80.2365982
S2-16-9,"Kanniyamman Pettai ,Colony",Tenable,16,126,460,2,"Kanniyamman Pettai ,Colony, Ward 16, MANALI, Chennai, Tamil Nadu, India",13.1948404,80.2551319
S2-16-12,Kanniyamman pettai,Tenable,16,172,632,2,"Kanniyamman pettai, Ward 16, MANALI, Chennai, Tamil Nadu, India",13.1948404,80.2551319
S2-17-22,Theeyambakkam,Tenable,17,89,324,2,"Theeyambakkam, Ward 17, MANALI, Chennai, Tamil Nadu, India",13.1966201,80.2350707
S2-15-2,Old Napalayam,Tenable,15,325,1214,2,"Old Napalayam, Ward 15, MANALI, Chennai, Tamil Nadu, India",13.2258456,80.2735228
S2-15-3,New Napalayam,Tenable,15,190,676,2,"New Napalayam, Ward 15, MANALI, Chennai, Tamil Nadu, India",13.2264835,80.2737295
S3-25-17,Mathew Street,Tenable,25,85,232,3,"Mathew Street, Ward 25, MADHAVARAM, Chennai, Tamil Nadu, India",13.1523503,80.2079485
S3-22-3,Kavangarai,Tenable,22,293,1148,3,"Kavangarai, Ward 22, MADHAVARAM, Chennai, Tamil Nadu, India",13.1705476,80.1954051
S3-22-2,Kannappasamy Nagar,Tenable,22,357,1333,3,"Kannappasamy Nagar, Ward 22, MADHAVARAM, Chennai, Tamil Nadu, India",13.1718526,80.1944807
S2-17-25,Ariyalur Gramam,Tenable,17,98,371,2,"Ariyalur Gramam, Ward 17, MANALI, Chennai, Tamil Nadu, India",13.1803135,80.229343
S3-33-76,Ponniyamman Medu,Tenable,33,36,129,3,"Ponniyamman Medu, Ward 33, MADHAVARAM, Chennai, Tamil Nadu, India",13.1349662,80.2274201
S3-31-66,Ambedkar Nagar,Tenable,31,384,1504,3,"Ambedkar Nagar, Ward 31, MADHAVARAM, Chennai, Tamil Nadu, India",13.1363254,80.2334578
S3-33-83,G.N.T.Road,Tenable,33,80,280,3,"G.N.T.Road, Ward 33, MADHAVARAM, Chennai, Tamil Nadu, India",13.1381167,80.2290164
S3-31-62,Udayar Thottam,Tenable,31,378,1455,3,"Udayar Thottam, Ward 31, MADHAVARAM, Chennai, Tamil Nadu, India",13.140254,80.2345711
S3-31-57,Kannapiran street,Tenable,31,242,960,3,"Kannapiran street, Ward 31, MADHAVARAM, Chennai, Tamil Nadu, India",13.14118,80.2328613
S3-26-46,Seethapathy Street,Tenable,26,64,222,3,"Seethapathy Street, Ward 26, MADHAVARAM, Chennai, Tamil Nadu, India",13.1482486,80.2285541
S3-25-44,Sembiam Street,Tenable,25,39,94,3,"Sembiam Street, Ward 25, MADHAVARAM, Chennai, Tamil Nadu, India",13.141922,80.2056741
S3-25-25,Thanthai Periyar Street,Tenable,25,7,15,3,"Thanthai Periyar Street, Ward 25, MADHAVARAM, Chennai, Tamil Nadu, India",13.1478289,80.2044919
S3-31-58,Muthumariamman koil st,Tenable,31,62,237,3,"Muthumariamman koil st, Ward 31, MADHAVARAM, Chennai, Tamil Nadu, India",13.1390163,80.2356104
S4-47-114,Meenambal Nagar,Tenable,47,1087,4255,4,"Meenambal Nagar, Ward 47, TONDIAR PET, Chennai, Tamil Nadu, India",13.1181232,80.2779533
S4-43-88,New Amaranjipuram,Tenable,43,217,943,4,"New Amaranjipuram, Ward 43, TONDIAR PET, Chennai, Tamil Nadu, India",13.1237997,80.2927705
S5-53-12,C.B.Road,Tenable,53,299,1346,5,"C.B.Road, Ward 53, ROYAPURAM, Chennai, Tamil Nadu, India",13.1084888,80.2722277
S5-53-5,Canal Street,Tenable,53,451,1829,5,"Canal Street, Ward 53, ROYAPURAM, Chennai, Tamil Nadu, India",13.1089557,80.271529
S5-53-11,Stanly Nagar,Tenable,53,675,2779,5,"Stanly Nagar, Ward 53, ROYAPURAM, Chennai, Tamil Nadu, India",13.1089835,80.2730763
S4-47-125,Ambethkar nagar,Tenable,47,1127,4659,4,"Ambethkar nagar, Ward 47, TONDIAR PET, Chennai, Tamil Nadu, India",13.1139796,80.2742942
S4-39-34,Desiya Nagar,Tenable,39,682,2693,4,"Desiya Nagar, Ward 39, TONDIAR PET, Chennai, Tamil Nadu, India",13.135416,80.293387
S4-40-46,Sivagami Nagar,Tenable,40,329,1151,4,"Sivagami Nagar, Ward 40, TONDIAR PET, Chennai, Tamil Nadu, India",13.1367509,80.2924073
S4-40-37,Jeeva Nagar,Tenable,40,891,3362,4,"Jeeva Nagar, Ward 40, TONDIAR PET, Chennai, Tamil Nadu, India",13.1373315,80.2889243
S4-39-31,Cheriyan Nagar,Tenable,39,850,3304,4,"Cheriyan Nagar, Ward 39, TONDIAR PET, Chennai, Tamil Nadu, India",13.138163,80.297142
S4-39-32,Ashok Nagar,Tenable,39,468,1585,4,"Ashok Nagar, Ward 39, TONDIAR PET, Chennai, Tamil Nadu, India",13.138163,80.297142
S4-39-33,Dhanabal Nagar,Tenable,39,335,951,4,"Dhanabal Nagar, Ward 39, TONDIAR PET, Chennai, Tamil Nadu, India",13.138163,80.297142
S4-40-40,V.O.C Nagar,Tenable,40,377,1330,4,"V.O.C Nagar, Ward 40, TONDIAR PET, Chennai, Tamil Nadu, India",13.1316738,80.2883267
S4-40-38,Seniamman koil st,Tenable,40,419,1511,4,"Seniamman koil st, Ward 40, TONDIAR PET, Chennai, Tamil Nadu, India",13.1320109,80.2896323
S4-41-65,Moopanar Nagar,Tenable,41,521,1784,4,"Moopanar Nagar, Ward 41, TONDIAR PET, Chennai, Tamil Nadu, India",13.1235131,80.2763873
S4-41-60,Gopal Nagar,Tenable,41,240,974,4,"Gopal Nagar, Ward 41, TONDIAR PET, Chennai, Tamil Nadu, India",13.125457,80.2763844
S4-41-73,Marimuthu Street,Tenable,41,195,535,4,"Marimuthu Street, Ward 41, TONDIAR PET, Chennai, Tamil Nadu, India",13.125479,80.2779515
S4-41-64,Parthasarathy Street,Tenable,41,177,582,4,"Parthasarathy Street, Ward 41, TONDIAR PET, Chennai, Tamil Nadu, India",13.125572,80.2791434
S4-41-72,Sivaji Nagar,Tenable,41,560,1800,4,"Sivaji Nagar, Ward 41, TONDIAR PET, Chennai, Tamil Nadu, India",13.1273832,80.2802162
S4-38-27,Durgadevi Nagar,tenable,38,480,1954,4,"Durgadevi Nagar, Ward 38, TONDIAR PET, Chennai, Tamil Nadu, India",13.1287025,80.2774294
S4-41-63,Ezil nagar,Tenable,41,720,2750,4,"Ezil nagar, Ward 41, TONDIAR PET, Chennai, Tamil Nadu, India",13.1299689,80.2732491
S4-38-21,Nehru Nagar,Tenable,38,1387,5511,4,"Nehru Nagar, Ward 38, TONDIAR PET, Chennai, Tamil Nadu, India",13.1316542,80.2791104
S4-38-25,Gandhi Nagar,Tenable,38,136,553,4,"Gandhi Nagar, Ward 38, TONDIAR PET, Chennai, Tamil Nadu, India",13.1316542,80.2791104
S4-38-28,Sathri nagar,Tenable,38,228,952,4,"Sathri nagar, Ward 38, TONDIAR PET, Chennai, Tamil Nadu, India",13.1316542,80.2791104
S4-38-29,Tamizhan nagar,Tenable,38,150,601,4,"Tamizhan nagar, Ward 38, TONDIAR PET, Chennai, Tamil Nadu, India",13.1316542,80.2791104
S4-38-30,Karunanidhi Nagar,Tenable,38,814,3266,4,"Karunanidhi Nagar, Ward 38, TONDIAR PET, Chennai, Tamil Nadu, India",13.1361747,80.2798091
S4-38-20,Vinobha nagar,Tenable,38,836,3146,4,"Vinobha nagar, Ward 38, TONDIAR PET, Chennai, Tamil Nadu, India",13.1362494,80.2791712
S4-38-26,Nedunchezhiyan Nagar,Tenable,38,484,1850,4,"Nedunchezhiyan Nagar, Ward 38, TONDIAR PET, Chennai, Tamil Nadu, India",13.1391258,80.2798679
S4-38-24,New Vinobha nagar,Tenable,38,112,456,4,"New Vinobha nagar, Ward 38, TONDIAR PET, Chennai, Tamil Nadu, India",13.139865,80.2786007
S4-35-4,Erukkancherry,Tenable,35,162,662,4,"Erukkancherry, Ward 35, TONDIAR PET, Chennai, Tamil Nadu, India",13.1307574,80.2511813
S4-43-95,Kasipuram,Tenable,43,146,608,4,"Kasipuram, Ward 43, TONDIAR PET, Chennai, Tamil Nadu, India",13.1293356,80.2941488
S4-43-89,Surya Narayana chetty street,Tenable,43,338,1276,4,"Surya Narayana chetty street, Ward 43, TONDIAR PET, Chennai, Tamil Nadu, India",13.1306937,80.296135
S4-43-93,Surya Narayana street,Tenable,43,29,120,4,"Surya Narayana street, Ward 43, TONDIAR PET, Chennai, Tamil Nadu, India",13.1306937,80.296135
S3-33-81,Vasudevan Thottam,Tenable,33,62,224,3,"Vasudevan Thottam, Ward 33, MADHAVARAM, Chennai, Tamil Nadu, India",13.1324282,80.2313705
S3-33-72,Nethaji Street,Tenable,33,20,66,3,"Nethaji Street, Ward 33, MADHAVARAM, Chennai, Tamil Nadu, India",13.1340591,80.2291404
S3-33-71,Kanaga Chathiram,Tenable,33,21,78,3,"Kanaga Chathiram, Ward 33, MADHAVARAM, Chennai, Tamil Nadu, India",13.1340789,80.2314343
S3-33-78,Vedachalam Street,Tenable,33,31,127,3,"Vedachalam Street, Ward 33, MADHAVARAM, Chennai, Tamil Nadu, India",13.1354049,80.2308941
S10-128-9,Aranganathan Nagar,Tenable,128,183,772,10,"Aranganathan Nagar, Ward 128, KODAMBAKKAM, Chennai, Tamil Nadu, India",13.0488534,80.190645
S6-72-33,Venkatesapuram New Colony,Tenable,72,170,744,6,"Venkatesapuram New Colony, Ward 72, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1071199,80.2624489
S6-72-48,Kasturibai Colony B Block,Tenable,72,188,931,6,"Kasturibai Colony B Block, Ward 72, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.107806,80.2664556
S6-72-47,Old Venkatesapuram,Tenable,72,175,751,6,"Old Venkatesapuram, Ward 72, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1093625,80.2652362
S4-46-103,A.Kalyanapuram,Tenable,46,183,694,4,"A.Kalyanapuram, Ward 46, TONDIAR PET, Chennai, Tamil Nadu, India",13.1139794,80.2648878
S4-46-106,B.Kalyanapuram,Tenable,46,867,3477,4,"B.Kalyanapuram, Ward 46, TONDIAR PET, Chennai, Tamil Nadu, India",13.1139794,80.2648878
S4-46-108,Kennedy nagar,Tenable,46,322,1368,4,"Kennedy nagar, Ward 46, TONDIAR PET, Chennai, Tamil Nadu, India",13.1165957,80.2641616
S4-46-111,Jonh Kennady Nagar,Tenable,46,67,278,4,"Jonh Kennady Nagar, Ward 46, TONDIAR PET, Chennai, Tamil Nadu, India",13.1165957,80.2641616
S4-42-75,Rettakuzhai Street,Tenable,42,590,2234,4,"Rettakuzhai Street, Ward 42, TONDIAR PET, Chennai, Tamil Nadu, India",13.122074,80.284523
S4-42-77,Moyar pasudeven st,Untenable,42,788,2618,4,"Moyar pasudeven st, Ward 42, TONDIAR PET, Chennai, Tamil Nadu, India",13.122074,80.284523
S4-42-79,Thirunavkarasu thottam,Untenable,42,897,2818,4,"Thirunavkarasu thottam, Ward 42, TONDIAR PET, Chennai, Tamil Nadu, India",13.122074,80.284523
S4-42-82,K.G.Garden,Untenable,42,299,1090,4,"K.G.Garden, Ward 42, TONDIAR PET, Chennai, Tamil Nadu, India",13.122074,80.284523
S4-42-83,Appasamy Thottam,Untenable,42,503,1834,4,"Appasamy Thottam, Ward 42, TONDIAR PET, Chennai, Tamil Nadu, India",13.122074,80.284523
S4-42-84,Veerakutty st,Tenable,42,1053,3801,4,"Veerakutty st, Ward 42, TONDIAR PET, Chennai, Tamil Nadu, India",13.122074,80.284523
S5-50-2,Amman Koil Street,Tenable,50,283,1145,5,"Amman Koil Street, Ward 50, ROYAPURAM, Chennai, Tamil Nadu, India",13.1103026,80.2967387
S5-50-3,Indira Nagar,UnTenable,50,110,416,5,"Indira Nagar, Ward 50, ROYAPURAM, Chennai, Tamil Nadu, India",13.1205485,80.2972833
S5-53-21,Basin Bridge Road,Tenable,53,133,560,5,"Basin Bridge Road, Ward 53, ROYAPURAM, Chennai, Tamil Nadu, India",13.1039625,80.2738079
S5-53-16,Chidambaram Nagar,Tenable,53,283,1124,5,"Chidambaram Nagar, Ward 53, ROYAPURAM, Chennai, Tamil Nadu, India",13.1057483,80.2732491
S5-53-18,New Labour Lane,Tenable,53,263,1015,5,"New Labour Lane, Ward 53, ROYAPURAM, Chennai, Tamil Nadu, India",13.106015,80.2761233
S5-53-15,Pensioners Lane,Tenable,53,343,1486,5,"Pensioners Lane, Ward 53, ROYAPURAM, Chennai, Tamil Nadu, India",13.108845,80.2799481
S5-57-58,Jutkapuram,UnTenable,57,322,1427,5,"Jutkapuram, Ward 57, ROYAPURAM, Chennai, Tamil Nadu, India",13.089617,80.2751651
S5-57-30,Adhi Andra Colony,UnTenable,57,98,441,5,"Adhi Andra Colony, Ward 57, ROYAPURAM, Chennai, Tamil Nadu, India",13.0931649,80.2748168
S5-60-31,Adam Street,UnTenable,60,96,398,5,"Adam Street, Ward 60, ROYAPURAM, Chennai, Tamil Nadu, India",13.0993034,80.2922107
S5-60-44,Angappan Street,Tenable,60,54,202,5,"Angappan Street, Ward 60, ROYAPURAM, Chennai, Tamil Nadu, India",13.0999365,80.2914589
S5-56-26,Thiruvalluvar Nagar,UnTenable,56,247,1117,5,"Thiruvalluvar Nagar, Ward 56, ROYAPURAM, Chennai, Tamil Nadu, India",13.1024235,80.2889243
S5-59-34,"Sathyavani Muthu Nagar , Huts",Tenable,59,169,606,5,"Sathyavani Muthu Nagar , Huts, Ward 59, ROYAPURAM, Chennai, Tamil Nadu, India",13.0786309,80.2765586
S5-59-35,"Sathyavani Muthu Nagar , Bridge",UnTenable,59,260,854,5,"Sathyavani Muthu Nagar , Bridge, Ward 59, ROYAPURAM, Chennai, Tamil Nadu, India",13.0786309,80.2765586
S5-59-36,Sathyavani Muthu Nagar,UnTenable,59,264,1014,5,"Sathyavani Muthu Nagar, Ward 59, ROYAPURAM, Chennai, Tamil Nadu, India",13.0786309,80.2765586
S5-60-43,Sir Muthusamy Salai,UnTenable,60,253,969,5,"Sir Muthusamy Salai, Ward 60, ROYAPURAM, Chennai, Tamil Nadu, India",13.0790445,80.2820338
S5-60-40,North Beach Road,Tenable,60,242,916,5,"North Beach Road, Ward 60, ROYAPURAM, Chennai, Tamil Nadu, India",13.0873776,80.2897473
S5-60-38,Narayanappa Nayakar Street,Tenable,60,92,351,5,"Narayanappa Nayakar Street, Ward 60, ROYAPURAM, Chennai, Tamil Nadu, India",13.0969799,80.2913411
S5-56-27,B.R.N Garden,UnTenable,56,203,955,5,"B.R.N Garden, Ward 56, ROYAPURAM, Chennai, Tamil Nadu, India",13.101256,80.286646
S5-63-69,South Koovam River Road,tenable,63,35,135,5,"South Koovam River Road, Ward 63, ROYAPURAM, Chennai, Tamil Nadu, India",13.0673075,80.2647185
S5-62-56,West Coovum River Road,UnTenable,62,76,258,5,"West Coovum River Road, Ward 62, ROYAPURAM, Chennai, Tamil Nadu, India",13.0721929,80.2682661
S5-62-61,West Koovam Atru Salai,Untenable,62,393,1457,5,"West Koovam Atru Salai, Ward 62, ROYAPURAM, Chennai, Tamil Nadu, India",13.0721929,80.2682661
S5-62-60,Pumping Station Road,UnTenable,62,358,1449,5,"Pumping Station Road, Ward 62, ROYAPURAM, Chennai, Tamil Nadu, India",13.0735843,80.2717934
S6-65-86,Makkaram Thottam,Tenable,65,320,1134,6,"Makkaram Thottam, Ward 65, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1192714,80.2073814
S6-68-96,Jai beem Nagar,Tenable,68,262,994,6,"Jai beem Nagar, Ward 68, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1175642,80.2373593
S6-68-90,Maduraisamy Madam,Tenable,68,1045,4062,6,"Maduraisamy Madam, Ward 68, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.119938,80.2342226
S6-68-91,MalliPoo Colony,Tenable,68,171,729,6,"MalliPoo Colony, Ward 68, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.119938,80.2342226
S6-68-94,"Othavadai , Street & Lane",Tenable,68,265,937,6,"Othavadai , Street & Lane, Ward 68, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.119938,80.2342226
S6-68-95,Poonusamy Nagar,Tenable,68,225,874,6,"Poonusamy Nagar, Ward 68, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.119938,80.2342226
S6-68-99,Thidith Thottam,Tenable,68,1127,4147,6,"Thidith Thottam, Ward 68, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.119938,80.2342226
S6-68-92,Apparao Garden,Tenable,68,38,154,6,"Apparao Garden, Ward 68, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1221353,80.2356011
S6-67-11,Loco Works,Un-Tenable,67,74,276,6,"Loco Works, Ward 67, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1084849,80.2336027
S6-66-2,K C Garden,Tenable,66,1587,5449,6,"K C Garden, Ward 66, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1183542,80.2300401
S6-69-101,Maduma Nagar,Tenable,69,792,3086,6,"Maduma Nagar, Ward 69, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.120537,80.2451263
S6-73-50,Old Vazhaima Nagar,Tenable,73,464,1820,6,"Old Vazhaima Nagar, Ward 73, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.0988485,80.2523934
S6-71-26,New Tank Bund Road,Tenable,71,122,418,6,"New Tank Bund Road, Ward 71, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.0997065,80.2473328
S6-71-30,Krishnadoss Road,Tenable,71,847,3179,6,"Krishnadoss Road, Ward 71, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1029248,80.2492468
S6-71-22,Ekangipuram,Semi-Tenable,71,1194,4478,6,"Ekangipuram, Ward 71, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1032671,80.2453748
S6-71-23,Semathamman Colony,Un-Tenable,71,652,2349,6,"Semathamman Colony, Ward 71, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1058126,80.2444165
S6-71-32,Adhisesha Nagar,Tenable,71,412,1428,6,"Adhisesha Nagar, Ward 71, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1065119,80.2464203
S6-70-19,Arunthathi Nagar I,Semi-Tenable,70,566,2217,6,"Arunthathi Nagar I, Ward 70, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1074094,80.2512989
S6-70-20,Arunthathi Nagar II,Semi-Tenable,70,400,1654,6,"Arunthathi Nagar II, Ward 70, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1074094,80.2512989
S6-76-67,K.M. Garden,Tenable,76,1104,4548,6,"K.M. Garden, Ward 76, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.0944623,80.2600368
S6-76-70,Ramanujam Garden,Tenable,76,25,102,6,"Ramanujam Garden, Ward 76, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.0960065,80.2570181
S6-73-51,Pensioners Lane,Tenable,73,275,1323,6,"Pensioners Lane, Ward 73, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.098975,80.2558128
S6-72-43,V.O.C Nagar,Tenable,72,567,2388,6,"V.O.C Nagar, Ward 72, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1057185,80.2612958
S6-77-74,Kattur Nallamuthu Street,Tenable,77,26,125,6,"Kattur Nallamuthu Street, Ward 77, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.0946789,80.2636159
S6-73-56,Gray Nagar,Tenable,73,119,603,6,"Gray Nagar, Ward 73, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1001556,80.2666298
S6-72-46,Narasimman Nagar,Tenable,72,238,957,6,"Narasimman Nagar, Ward 72, THIRU-VI-KA NAGAR, Chennai, Tamil Nadu, India",13.1044292,80.2666298
S7-79-2,Oragadam Colony,Untenable,79,370,1344,7,"Oragadam Colony, Ward 79, AMBATTUR, Chennai, Tamil Nadu, India",13.129026,80.1548021
S7-79-6,"Venkateswara Nagar
Extension",Tenable,79,496,1841,7,"Venkateswara Nagar
Extension, Ward 79, AMBATTUR, Chennai, Tamil Nadu, India",13.133094,80.1498362
S7-79-3,Lakshmi Amman Nagar,Untenable,79,296,1057,7,"Lakshmi Amman Nagar, Ward 79, AMBATTUR, Chennai, Tamil Nadu, India",13.1349953,80.152976
S7-79-1,Oragadam,Tenable,79,749,2698,7,"Oragadam, Ward 79, AMBATTUR, Chennai, Tamil Nadu, India",13.1375403,80.1539697
S7-82-15,"Menambedu, Munusamy Koil Street",Tenable,82,186,609,7,"Menambedu, Munusamy Koil Street, Ward 82, AMBATTUR, Chennai, Tamil Nadu, India",13.1206712,80.1647503
S7-82-16,"Menambedu, Sabari Iyyappan Nagar",Tenable,82,101,351,7,"Menambedu, Sabari Iyyappan Nagar, Ward 82, AMBATTUR, Chennai, Tamil Nadu, India",13.1206712,80.1647503
S7-82-17,"Menambedu,  Indian Bank Colony",Untenable,82,58,189,7,"Menambedu,  Indian Bank Colony, Ward 82, AMBATTUR, Chennai, Tamil Nadu, India",13.1206712,80.1647503
S7-79-4,S.V.Nagar,Tenable,79,353,1258,7,"S.V.Nagar, Ward 79, AMBATTUR, Chennai, Tamil Nadu, India",13.1303062,80.1573763
S7-82-20,Kalli Kuppam,Tenable,82,110,361,7,"Kalli Kuppam, Ward 82, AMBATTUR, Chennai, Tamil Nadu, India",13.136693,80.169371
S7-82-14,"Kallikuppam,  Sakthi Nagar",Tenable,82,101,315,7,"Kallikuppam,  Sakthi Nagar, Ward 82, AMBATTUR, Chennai, Tamil Nadu, India",13.1376946,80.167627
S7-82-11,"Kallikuppam, Srinivasa Nagar",Tenable,82,63,203,7,"Kallikuppam, Srinivasa Nagar, Ward 82, AMBATTUR, Chennai, Tamil Nadu, India",13.1398583,80.1683246
S7-85-50,"Kamarajapuram , Part II",Tenable,85,369,1374,7,"Kamarajapuram , Part II, Ward 85, AMBATTUR, Chennai, Tamil Nadu, India",13.1069309,80.1547203
S7-85-51,"Kamarajapuram , Part I",Tenable,85,282,1073,7,"Kamarajapuram , Part I, Ward 85, AMBATTUR, Chennai, Tamil Nadu, India",13.1069309,80.1547203
S7-85-53,"Kamarajapuram , Sugadhara Paniyalar Kudiyiruppu",Tenable,85,121,496,7,"Kamarajapuram , Sugadhara Paniyalar Kudiyiruppu, Ward 85, AMBATTUR, Chennai, Tamil Nadu, India",13.1069309,80.1547203
S7-85-55,M.K.B Nagar,Tenable,85,529,1964,7,"M.K.B Nagar, Ward 85, AMBATTUR, Chennai, Tamil Nadu, India",13.1070595,80.1487895
S7-85-57,Shivanantha Nagar,Tenable,85,481,1685,7,"Shivanantha Nagar, Ward 85, AMBATTUR, Chennai, Tamil Nadu, India",13.1071398,80.1508828
S7-85-52,Dobi Colony,Tenable,85,257,976,7,"Dobi Colony, Ward 85, AMBATTUR, Chennai, Tamil Nadu, India",13.1074979,80.1537504
S7-85-49,Ramapuram,Tenable,85,218,794,7,"Ramapuram, Ward 85, AMBATTUR, Chennai, Tamil Nadu, India",13.1097793,80.1547203
S7-85-56,Teachers Colony,Tenable,85,563,1962,7,"Teachers Colony, Ward 85, AMBATTUR, Chennai, Tamil Nadu, India",13.1106736,80.150185
S7-81-9,Indira Nagar,Tenable,81,372,1266,7,"Indira Nagar, Ward 81, AMBATTUR, Chennai, Tamil Nadu, India",13.1153159,80.1505339
S7-84-40,"Pattravakkam, Yadavel Street",Tenable,84,37,123,7,"Pattravakkam, Yadavel Street, Ward 84, AMBATTUR, Chennai, Tamil Nadu, India",13.1070009,80.1699687
S7-84-43,"Pattravakkam, Kanniyamman Koil Street",Tenable,84,122,390,7,"Pattravakkam, Kanniyamman Koil Street, Ward 84, AMBATTUR, Chennai, Tamil Nadu, India",13.1103786,80.1686165
S7-84-44,"Pattravakkam, Kannan Koil Street",Tenable,84,66,236,7,"Pattravakkam, Kannan Koil Street, Ward 84, AMBATTUR, Chennai, Tamil Nadu, India",13.1104727,80.1675051
S7-84-39,"Pattravakkam, Mariyamman Koil Street",Untenable,84,67,198,7,"Pattravakkam, Mariyamman Koil Street, Ward 84, AMBATTUR, Chennai, Tamil Nadu, India",13.1105817,80.1686486
S7-83-28,Sivalingapuram,Tenable,83,147,481,7,"Sivalingapuram, Ward 83, AMBATTUR, Chennai, Tamil Nadu, India",13.1138563,80.1868091
S7-82-18,"Karukku , New Street",Tenable,82,112,349,7,"Karukku , New Street, Ward 82, AMBATTUR, Chennai, Tamil Nadu, India",13.11713,80.1708936
S7-82-19,"Karukku , Old Street",Tenable,82,108,336,7,"Karukku , Old Street, Ward 82, AMBATTUR, Chennai, Tamil Nadu, India",13.1188516,80.1712952
S7-82-12,"Kallikuppam, Gangai Nagar",Untenable,82,61,186,7,"Kallikuppam, Gangai Nagar, Ward 82, AMBATTUR, Chennai, Tamil Nadu, India",13.132094,80.17181
S7-82-13,"Kallikuppam,  Muthamil Nagar",Tenable,82,92,270,7,"Kallikuppam,  Muthamil Nagar, Ward 82, AMBATTUR, Chennai, Tamil Nadu, India",13.1324522,80.1736169
S3-24-16,Annai Indira Nagar,Tenable,24,739,2993,3,"Annai Indira Nagar, Ward 24, MADHAVARAM, Chennai, Tamil Nadu, India",13.1428196,80.1805318
S7-86-61,"Athipet , Periya Colony",Tenable,86,210,670,7,"Athipet , Periya Colony, Ward 86, AMBATTUR, Chennai, Tamil Nadu, India",13.0895523,80.1564646
S7-86-60,"Athipet , Chinna Colony",Tenable,86,231,759,7,"Athipet , Chinna Colony, Ward 86, AMBATTUR, Chennai, Tamil Nadu, India",13.0955964,80.1525405
