s_id,s_nm,s_tenabili,s_wno,s_hh,s_pop,s_zno,s_addr,s_lat,s_lon
S13-180-65,"Periyar Nagar , Kanagam",un-Tenable,180,181,680,13,"Periyar Nagar , Kanagam, Ward 180, ADYAR, Chennai, Tamil Nadu, India",12.9882038,80.2429354
S13-180-40,Kanagam,Tenable,180,436,1674,13,"Kanagam, Ward 180, ADYAR, Chennai, Tamil Nadu, India",12.9921042,80.2425869
S13-180-55,"Nehru Street , Kanagam",Tenable,180,182,634,13,"Nehru Street , Kanagam, Ward 180, ADYAR, Chennai, Tamil Nadu, India",12.9935389,80.24253
S13-176-78,Sasthri Nagar,Tenable,176,537,2042,13,"Sasthri Nagar, Ward 176, ADYAR, Chennai, Tamil Nadu, India",12.9991491,80.2590739
S13-176-19,"Besant Avenue, Adyar Huts",Tenable,176,110,362,13,"Besant Avenue, Adyar Huts, Ward 176, ADYAR, Chennai, Tamil Nadu, India",13.0080362,80.2649087
S13-177-26,"Ex,Serviceman Colony",Tenable,177,109,436,13,"Ex,Serviceman Colony, Ward 177, ADYAR, Chennai, Tamil Nadu, India",12.9916105,80.2065465
S13-177-31,Indira Gandhi Nagar,Tenable,177,203,766,13,"Indira Gandhi Nagar, Ward 177, ADYAR, Chennai, Tamil Nadu, India",12.9940566,80.2094732
S12-165-44,Sundaramurthy Street,Un-tenable,165,200,697,12,"Sundaramurthy Street, Ward 165, ALANDUR, Chennai, Tamil Nadu, India",12.9838541,80.1966723
S13-177-4,Ambedkar Nagar,Tenable,177,3344,13437,13,"Ambedkar Nagar, Ward 177, ADYAR, Chennai, Tamil Nadu, India",12.984479,80.2047014
S13-177-16,ASK Nagar,Tenable,177,149,489,13,"ASK Nagar, Ward 177, ADYAR, Chennai, Tamil Nadu, India",12.984479,80.2047014
S13-177-37,Kakkan Nagar,Tenable,177,410,1499,13,"Kakkan Nagar, Ward 177, ADYAR, Chennai, Tamil Nadu, India",12.984479,80.2047014
S13-177-77,Sasi Nagar,Tenable,177,256,932,13,"Sasi Nagar, Ward 177, ADYAR, Chennai, Tamil Nadu, India",12.984479,80.2047014
S14-184-18,"Anjugam Ammaiyar Nagar, Kallukuttai Part VIII",Tenable,184,724,2619,14,"Anjugam Ammaiyar Nagar, Kallukuttai Part VIII, Ward 184, PER UNGUDI, Chennai, Tamil Nadu, India",12.9685738,80.2317828
S14-184-17,"Nethaji Nagar,Kallukuttai Part XI",Tenable,184,88,319,14,"Nethaji Nagar,Kallukuttai Part XI, Ward 184, PER UNGUDI, Chennai, Tamil Nadu, India",12.9793768,80.2352681
S13-179-58,New Colony,Tenable,179,60,200,13,"New Colony, Ward 179, ADYAR, Chennai, Tamil Nadu, India",12.9835275,80.2313566
S13-178-34,Jeganathapuram,Un-Tenable,178,616,2261,13,"Jeganathapuram, Ward 178, ADYAR, Chennai, Tamil Nadu, India",12.9852406,80.2186003
S13-178-86,Throwpathy amman koil street,Un-Tenable,178,517,1949,13,"Throwpathy amman koil street, Ward 178, ADYAR, Chennai, Tamil Nadu, India",12.9852406,80.2186003
S13-180-33,Jayanthi Periyar Nagar MUDP,Tenable,180,686,2509,13,"Jayanthi Periyar Nagar MUDP, Ward 180, ADYAR, Chennai, Tamil Nadu, India",12.9892826,80.2526927
S13-180-89,Valluvar Nagar,Tenable,180,166,599,13,"Valluvar Nagar, Ward 180, ADYAR, Chennai, Tamil Nadu, India",12.9900466,80.2540865
S13-181-7,Annastreet,Tenable,181,228,834,13,"Annastreet, Ward 181, ADYAR, Chennai, Tamil Nadu, India",12.9917157,80.2627517
S13-181-44,Lakshmipuram,Tenable,181,785,2931,13,"Lakshmipuram, Ward 181, ADYAR, Chennai, Tamil Nadu, India",12.9924959,80.2624489
S13-181-29,Gangai Amman Koil Street,Tenable,181,115,429,13,"Gangai Amman Koil Street, Ward 181, ADYAR, Chennai, Tamil Nadu, India",12.993092,80.2611634
S13-181-50,Marudheeswarar Nagar,Tenable,181,585,2094,13,"Marudheeswarar Nagar, Ward 181, ADYAR, Chennai, Tamil Nadu, India",12.9950847,80.2564172
S13-180-75,Ranganathapuram,un-Tenable,180,921,3322,13,"Ranganathapuram, Ward 180, ADYAR, Chennai, Tamil Nadu, India",12.9868314,80.2537381
S13-180-76,"Ranganathapuram , Indra Nagar",Un-Tenable,180,553,2015,13,"Ranganathapuram , Indra Nagar, Ward 180, ADYAR, Chennai, Tamil Nadu, India",12.9868314,80.2537381
S14-188-32,"Madipakkam,Kulakkarai Street",Tenable,188,211,723,14,"Madipakkam,Kulakkarai Street, Ward 188, PER UNGUDI, Chennai, Tamil Nadu, India",12.9634528,80.1984325
